Rice Variety	ROS	OSRMC	SUB1A	CAT	SNCA3	Stress_Condition
VGD 59	3.050214996	3.223611407	2.444133613	2.478759732	2.676053268	Drought_Stress
TKM 9	2.24	2.42	2.44	2.68	2.45	Healthy
TKM 9	3.265396513	3.72879817	1.903657354	2.52347567	2.993994883	Drought_Stress
IR 64	3.45	3.37	2.99	3.08	3.39	Salinity_Stress
PQR-303	3.226387954	3.691492916	2.385873023	2.031725037	3.319536082	Drought_Stress
PQR-303	2.450652223	1.905750898	2.101366347	3.092688439	3.316079111	Salinity_Stress
PQR-303	3.190895102	3.409196687	2.267725716	2.301859693	3.023079278	Drought_Stress
MDU 5	3.34	3.61	1.9	2.85	3.35	Drought_Stress
ASD 16	2.341469357	3.152443822	2.68249561	2.809377394	3.244936921	Salinity_Stress
PMK 3 (Ponmani)	3.048952399	1.961294698	1.993938426	2.853636367	3.162991407	Salinity_Stress
ADT 37	2.618614763	2.222959962	2.985795191	3.062371649	3.190224193	Salinity_Stress
IR 20	2.380784111	2.076522013	2.702420816	2.251263263	2.763382264	Healthy
MDU 5	3.344671113	3.620247772	1.902980628	2.850071731	3.352979034	Drought_Stress
IR 50	2.252649634	2.346005054	2.926251596	2.144926907	2.740684126	Healthy
BPT 5204 (Sona Masuri)	3.490004453	3.332116548	2.417845858	2.559522006	3.01858165	Drought_Stress
ADT 45	2.08	2.46	2.47	2.25	2.97	Healthy
CO 43	3.004299645	3.142278937	2.215450601	2.647631923	3.358023968	Drought_Stress
VGD 59	1.90525144	2.089417005	2.522993558	2.916074352	3.287623177	Salinity_Stress
White Ponni	2.379252392	2.755199216	2.624886358	2.67204109	2.914901978	Healthy
XYZ-202	2.81	3.09	2.74	2.49	2.74	Drought_Stress
ASD 16	3.05755339	3.104919215	2.476520067	2.080545966	2.464722517	Drought_Stress
ASD 16	2.324629805	2.393138329	2.489855659	2.255857737	2.509920866	Healthy
ASD 16	2.221097659	3.442240726	2.340109264	2.944780192	3.201617151	Salinity_Stress
IR 50	3.498195541	3.516059768	1.987113542	2.42646505	3.318736801	Drought_Stress
IR 20	3.16	3.68	2.29	2.41	3.21	Drought_Stress
ADT 37	3.091483603	2.55891398	2.660470983	3.054881054	3.260430012	Salinity_Stress
ADT 43	3.157311435	2.167625888	2.580873041	2.859433056	3.385106557	Healthy
ADT 43	3.08	3.33	2.15	2.63	2.81	Drought_Stress
PMK 3 (Ponmani)	3.502480119	3.642004772	2.515621619	2.268517716	2.851796308	Drought_Stress
ASD 16	2.338085757	2.356161517	2.483042312	2.266941341	2.504312662	Healthy
Pusa Basmati 1	3.221601718	3.767499381	1.951166976	2.579853793	3.193214329	Drought_Stress
BPT 5204 (Sona Masuri)	3.001363524	3.262830817	2.245630446	3.062423725	2.732185012	Drought_Stress
